Count of GWS_GEWAS,,,JAAR,,,,
GWS_GEWASC,GWS_GEWAS,CAT_GEWASC,2015,2016,2017,2018,Grand Total
1874,"Overig kleinfruit (zoals kruisbessen, kiwi's)",Bouwland,1,1,1,1,4
1876,Snijgroen,Bouwland,1,1,1,1,4
1921,Graszoden,Grasland,1,1,1,1,4
1922,"Koolzaad, winter (incl. boterzaad)",Bouwland,1,1,1,1,4
1923,"Koolzaad, zomer (incl. boterzaad)",Bouwland,1,1,1,1,4
1925,Overige akkerbouwgewassen,Bouwland,1,1,1,,3
1926,Agrarisch natuurmengsel,Grasland,,1,1,1,3
1931,"Uien, poot- en plant- (incl. sjalotten)",Bouwland,1,1,1,1,4
1936,"Bos, blijvend, met herplantplicht",Overige,1,1,1,1,4
1949,Aardperen,Bouwland,1,1,1,1,4
2014,"Aardappelen, consumptie",Bouwland,1,1,1,1,4
2015,"Aardappelen, poot NAK",Bouwland,1,1,1,1,4
2016,"Aardappelen, poot TBM",Bouwland,1,1,1,1,4
2017,"Aardappelen, zetmeel",Bouwland,1,1,1,1,4
2025,"Aardappelen, bestrijdingsmaatregel AM",Bouwland,1,1,1,1,4
2032,"Ma├»s, energie-",Bouwland,,,,1,1
,"Maïs, energie-",Bouwland,1,1,1,,3
2033,"Onbeteelde grond, tijdelijk",Braakland,1,1,,,2
2300,Onbeteelde grond vanwege een teeltverbod/ontheffing,Braakland,1,1,1,1,4
2325,"Bessen, rode",Bouwland,1,1,1,1,4
2326,Frambozen,Bouwland,1,1,1,1,4
2327,Bramen,Bouwland,1,1,1,1,4
2328,"Kersen, zoet",Bouwland,1,1,1,1,4
2645,Notenbomen,Bouwland,1,1,1,1,4
2652,Overige granen,Bouwland,1,1,1,1,4
2700,"Aardbeien open grond, vermeerdering",Bouwland,1,1,1,1,4
2701,"Aardbeien open grond, wachtbed",Bouwland,1,1,1,1,4
2702,"Aardbeien open grond, productie",Bouwland,1,1,1,1,4
2703,"Aardbeien open grond, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2704,"Aardbeien op stellingen, vermeerdering",Bouwland,1,1,1,1,4
2705,"Aardbeien op stellingen, wachtbed",Bouwland,1,1,1,1,4
2706,"Aardbeien op stellingen, productie",Bouwland,1,1,1,1,4
2707,"Aardbeien op stellingen, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2708,"Andijvie, productie",Bouwland,1,1,1,1,4
2709,"Andijvie, zaden en opkweekmateriaal",Bouwland,1,,,,1
2710,"Asperges, oppervlakte die productie oplevert",Bouwland,1,1,1,1,4
2711,"Asperges, oppervlakte die nog geen productie oplevert",Bouwland,1,1,1,1,4
2712,"Asperges, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2713,"Bloemkool, productie",Bouwland,1,,,,1
2714,"Bloemkool, zaden en opkweekmateriaal",Bouwland,1,,,,1
2715,"Boerenkool, productie",Bouwland,1,1,1,1,4
2716,"Boerenkool, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2717,"Bospeen, productie",Bouwland,1,1,1,1,4
2718,"Bospeen, zaden en opkweekmateriaal",Bouwland,,1,1,1,3
2719,"Broccoli, productie",Bouwland,1,1,1,1,4
2720,"Brocolli, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2721,"Chinese kool, productie",Bouwland,1,1,1,1,4
2723,"Courgette, productie",Bouwland,1,1,1,1,4
2724,"Courgette, zaden en opkweekmateriaal",Bouwland,1,,1,1,3
2725,"Knolselderij, productie",Bouwland,1,1,1,1,4
2726,"Knolselderij, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2727,"Knolvenkel/venkel, productie",Bouwland,1,1,1,1,4
2729,"Komkommer, productie",Bouwland,1,1,1,1,4
2731,"Augurk, productie",Bouwland,1,1,1,1,4
2732,"Augurk, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2734,"Meloen, zaden en opkweekmateriaal",Bouwland,,1,,,1
2735,"Pompoen, productie",Bouwland,1,1,1,1,4
2736,"Pompoen, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2737,"Koolraap, productie",Bouwland,1,1,1,1,4
2739,"Koolrabi, productie",Bouwland,1,1,1,1,4
2740,"Koolrabi, zaden en opkweekmateriaal",Bouwland,1,1,,1,3
2741,"Kroten/rode bieten, productie",Bouwland,1,1,1,1,4
2742,"Kroten/rode bieten, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2743,"Kruiden, productie",Bouwland,1,1,1,1,4
2744,"Kruiden, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2745,"Paksoi, productie",Bouwland,1,1,1,1,4
2747,"Peulen, productie",Bouwland,1,1,1,1,4
2748,"Peulen, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2749,"Prei, productie",Bouwland,1,,,,1
2750,"Prei, zaden en opkweekmateriaal",Bouwland,1,,,,1
2751,"Pronkbonen, productie",Bouwland,1,1,1,1,4
2752,"Pronkbonen, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2753,"Raapstelen, productie",Bouwland,1,1,1,1,4
2754,"Raapstelen, zaden en opkweekmateriaal",Bouwland,,1,,,1
2755,"Rabarber, productie",Bouwland,1,1,1,1,4
2756,"Rabarber, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2757,"Radijs, productie",Bouwland,1,1,1,1,4
2758,"Radijs, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2759,"Rodekool, productie",Bouwland,1,1,1,1,4
2761,"Savooiekool, productie",Bouwland,1,1,1,1,4
2762,"Savooiekool, zaden en opkweekmateriaal",Bouwland,1,1,,1,3
2763,Schorseneren; productie,Bouwland,1,1,1,1,4
2764,"Schorseneren, zaden en opkweekmateriaal",Bouwland,,,1,,1
2765,"Selderij, bleek- en groen-, productie",Bouwland,1,1,1,1,4
2766,"Selderij, bleek- en groen-, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2767,"Sla, ijsberg-, productie",Bouwland,1,1,1,1,4
2768,"Sla, ijsberg-, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2769,"Sla; radicchio rosso, productie",Bouwland,1,1,1,1,4
2770,"Sla; radicchio rosso, zaden en opkweekmateriaal",Bouwland,,1,,1,2
2771,"Sla; overig, productie",Bouwland,1,1,1,1,4
2772,"Sla; overig, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2773,"Spinazie, productie",Bouwland,1,1,1,1,4
2774,"Spinazie, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2775,"Spitskool, productie",Bouwland,1,1,1,1,4
2776,"Spitskool, zaden en opkweekmateriaal",Bouwland,1,,1,1,3
2777,"Spruitkool/spruitjes, productie",Bouwland,1,1,1,1,4
2778,"Spruitkool/spruitjes, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2779,"Stamsperziebonen (=stamslabonen), productie",Bouwland,1,1,1,1,4
2780,"Stamsperziebonen (=stamslabonen), zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2781,"Stoksnijbonen en stokslabonen, productie",Bouwland,1,1,1,1,4
2782,"Stoksnijbonen en stokslabonen, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2783,"Waspeen, productie",Bouwland,1,1,1,1,4
2784,"Waspeen, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2785,"Winterpeen, productie",Bouwland,1,1,1,1,4
2786,"Winterpeen, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2787,"Witlofwortel, productie",Bouwland,1,1,1,1,4
2788,"Witlofwortel, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2789,"Witte kool, productie",Bouwland,1,1,1,1,4
2790,"Witte kool, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2791,"Overige niet genoemde bladgewassen, productie",Bouwland,1,1,1,1,4
2792,"Overige niet genoemde bladgewassen, zaden en opkweekmateriaa",Bouwland,1,,,,1
,"Overige niet genoemde bladgewassen, zaden en opkweekmateriaal",Bouwland,,1,1,1,3
2793,"Overige niet genoemde groenten, productie",Bouwland,1,1,1,1,4
2794,"Overige niet genoemde groenten, zaden en opkweekmateriaal",Bouwland,1,1,1,1,4
2795,"Bloemkool, winter, productie",Bouwland,,1,1,1,3
2796,"Bloemkool, winter, zaden en opkweekmateriaal",Bouwland,,1,1,1,3
2797,"Bloemkool, zomer, productie",Bouwland,,1,1,1,3
2798,"Bloemkool, zomer, zaden en opkweekmateriaal",Bouwland,,1,1,1,3
2799,"Prei, winter, productie",Bouwland,,1,1,1,3
2800,"Prei, winter, zaden en opkweekmateriaal",Bouwland,,1,1,1,3
2801,"Prei, zomer, productie",Bouwland,,1,1,1,3
2802,"Prei, zomer, zaden en opkweekmateriaal",Bouwland,,1,1,1,3
3500,"Klaver, Alexandrijnse",Bouwland,,1,1,1,3
3501,Beemdlangbloem,Bouwland,1,,,1,2
3502,Bladkool,Bouwland,1,1,1,1,4
3503,Bladraap,Bouwland,,,1,,1
3504,Bladrammenas,Bouwland,1,1,1,1,4
3505,Deder,Bouwland,1,1,1,1,4
3506,Engels raaigras,Bouwland,1,1,1,1,4
3507,Ethiopische mosterd,Bouwland,1,1,1,1,4
3508,Facelia,Bouwland,1,1,1,1,4
3509,Festulolium,Bouwland,1,1,1,1,4
3510,Franse boekweit,Bouwland,1,1,1,1,4
3512,Italiaans raaigras,Bouwland,1,1,1,1,4
3513,Westerwolds raaigras,Bouwland,1,1,1,1,4
3516,Rietzwenkgras,Bouwland,1,1,,,2
3517,Sarepta mosterd/Caliente,Bouwland,1,1,1,1,4
3519,Soedangras/Sorghum,Bouwland,1,1,1,1,4
3521,Stoppelknollen,Bouwland,,1,1,1,3
3522,Timothee,Bouwland,1,1,1,1,4
3523,Veldbeemdgras,Bouwland,1,1,1,1,4
3524,"Klaver, witte",Bouwland,1,1,1,1,4
3736,"Vlas, vezel-",Bouwland,1,1,1,1,4
3801,"Tijdelijk onbeteelde grond, i.v.m. publieke werken",Braakland,,,1,1,2
3802,"Tijdelijk onbeteelde grond, anders dan voor publieke werken",Braakland,,,1,1,2
3803,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een ander gewas dan gras. (EA: beheer)",Bouwland,,,1,1,2
3804,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit een ander gewas dan gras. (EA: onbeheerd)",Bouwland,,,1,1,2
3805,"Rietzwenkgras, industriegras",Grasland,,,1,1,2
3807,"Rietzwenkgras, anders dan voor industriegras",Grasland,,,1,1,2
337,"Bufferstrook, rand (inclusief eventuele oevervegetatie)",Overige,,,,1,1
2722,"Chinese kool, zaden en opkweekmateriaal",Bouwland,,,,1,1
971,"Hyacint, droogbloemen",Bouwland,,,,1,1
1051,"Iris, Bolvormend",Bouwland,,,,1,1
1052,"Iris, Rhizoomvormend",Bouwland,,,,1,1
3511,"Klaver, incarnaat",Bouwland,,,,1,1
2738,"Koolraap, zaden en opkweekmateriaal",Bouwland,,,,1,1
2733,"Meloen, productie",Bouwland,,,,1,1
1927,Overige akkerbouwgewassen,Bouwland,,,,1,1
2746,"Paksoi, zaden en opkweekmateriaal",Bouwland,,,,1,1
1054,"Pioenroos, vermeerdering",Bouwland,,,,1,1
338,"Rand, liggend op bouwland en direct grenzend aan bos. Geen landbouwproductie.",Overige,,,,1,1
2760,"Rodekool, zaden en opkweekmateriaal",Bouwland,,,,1,1
636,Saffloer,Bouwland,,,,1,1
986,"Tulp, droogbloemen",Bouwland,,,,1,1
Grand Total,,,260,296,300,312,1168
